datetime,forecast,actual
2018-10-31 00:00:00,5.103713136102902,3.89431012433333
2018-10-31 00:30:00,5.253857763281431,3.3616444445
2018-10-31 01:00:00,4.750106243746347,2.00811
2018-10-31 01:30:00,4.328926617025924,1.45142833316667
2018-10-31 02:00:00,3.8544083006417953,4.50947277766667
2018-10-31 02:30:00,3.4514628810625574,4.17465055533333
2018-10-31 03:00:00,3.624691511149643,3.89577166683333
2018-10-31 03:30:00,4.046409051596042,7.05442833333333
2018-10-31 04:00:00,4.2700144756689395,6.65908777783333
2018-10-31 04:30:00,3.362195451018043,2.24133222233333
2018-10-31 05:00:00,2.887864075334408,0.654868333333333
2018-10-31 05:30:00,3.8723855090100385,4.3438544445
2018-10-31 06:00:00,5.851683266147977,8.86377777766667
2018-10-31 06:30:00,7.128724138425801,10.3730988895
2018-10-31 07:00:00,7.568057011165632,10.4462355555
2018-10-31 07:30:00,6.925838917900039,9.04406888883333
2018-10-31 08:00:00,7.215816464304513,9.36213222333333
2018-10-31 08:30:00,8.146085422412591,10.4036994445
2018-10-31 09:00:00,7.613800807707756,9.93508388883333
2018-10-31 09:30:00,6.80876972299357,7.1432044445
2018-10-31 10:00:00,7.248162683685407,9.46798111166667
2018-10-31 10:30:00,7.231185121495656,8.20951666666667
2018-10-31 11:00:00,7.312605595616242,8.83578166666667
2018-10-31 11:30:00,7.3418188413591,8.41333166666667
2018-10-31 12:00:00,7.03414050889159,7.49985222216667
2018-10-31 12:30:00,6.49395800820785,6.89123777783333
2018-10-31 13:00:00,5.849319534136658,6.38493
2018-10-31 13:30:00,5.584333959798392,6.813588889
2018-10-31 14:00:00,4.738174886282773,5.69564888883333
2018-10-31 14:30:00,3.897981737706094,4.70155777783333
2018-10-31 15:00:00,3.365104698450532,3.13747277783333
2018-10-31 15:30:00,2.3558597832991204,0.2012755555
2018-10-31 16:00:00,2.6311828488592397,0.112366667
2018-10-31 16:30:00,2.6103505071250033,0.173991111166667
2018-10-31 17:00:00,2.950273204001983,0.660209444333333
2018-10-31 17:30:00,2.81828046370306,0.0906788888333333
2018-10-31 18:00:00,1.545448535540649,0.0003733333333333
2018-10-31 18:30:00,0.4580787051509941,0.10056964646969693
2018-10-31 19:00:00,0.5525979794481999,0.0001772221666666
2018-10-31 19:30:00,0.3004266675051615,0.08459198802754817
2018-10-31 20:00:00,0.014561995653632802,0.033862522302779835
2018-10-31 20:30:00,0.29190639505956195,0.0127233333333333
2018-10-31 21:00:00,0.5862893077676455,0.055746111
2018-10-31 21:30:00,0.32260524356877335,0.0080205555
2018-10-31 22:00:00,0.28186516846727816,0.0020133333333333
2018-10-31 22:30:00,0.18753509391399023,0.0175933333333333
2018-10-31 23:00:00,0.032567110953858495,0.0182094443333333
2018-10-31 23:30:00,-0.23100088548246628,0.0017244445
