,forecast,actual
2018-09-30 10:00:00,8.13776981782958,5.94200111133333
2018-10-01 10:00:00,6.992792286252806,5.2713144445
2018-10-02 10:00:00,5.4365214427142865,7.1837672225
2018-10-03 10:00:00,7.796235948462431,10.8647927783333
2018-10-04 10:00:00,2.413721726698917,0.804163888833333
2018-10-05 10:00:00,4.574878143855756,3.1024844445
2018-10-06 10:00:00,2.833982627504309,0.011748542234932262
2018-10-07 10:00:00,4.310679435590824,0.469907222333333
2018-10-08 10:00:00,2.8358232203456835,6.3574444445
2018-10-09 10:00:00,4.122869378303552,4.19288166666667
2018-10-10 10:00:00,2.038403918622203,0.010302820452838346
2018-10-11 10:00:00,1.9484909226264824,6.642146111
2018-10-12 10:00:00,0.4128027611197824,0.200503888666667
2018-10-13 10:00:00,1.4471546465791534,0.0634261111666666
2018-10-14 10:00:00,1.873595403541648,3.52030777766667
2018-10-15 10:00:00,1.0478876942557065,0.3669554499283748
2018-10-16 10:00:00,0.84643413120882,0.001976336847933421
2018-10-17 10:00:00,1.3657966895868117,1.10066333333333
2018-10-18 10:00:00,4.127432065183685,3.92839166666667
2018-10-19 10:00:00,4.074735257012817,0.843082777666667
2018-10-20 10:00:00,7.158218670521016,5.7251755555
2018-10-21 10:00:00,2.6620999569804593,2.12587222216667
2018-10-22 10:00:00,5.942486348586661,9.85468722216667
2018-10-23 10:00:00,9.405476498771039,10.3721216666667
2018-10-24 10:00:00,4.4047026730696555,6.57942388883333
2018-10-25 10:00:00,10.928783603387096,10.394905555
2018-10-26 10:00:00,6.437144524104678,1.804671111
2018-10-27 10:00:00,7.762124230032926,6.347778889
2018-10-28 10:00:00,5.038267508102548,2.76554944433333
2018-10-29 10:00:00,5.574817138834112,6.08770111116667
2018-10-30 10:00:00,3.0352592860215326,3.4914883335
2018-10-31 10:00:00,4.354407491596594,9.46798111166667
2018-11-01 10:00:00,2.203495794968389,2.89742277766667
2018-11-02 10:00:00,3.2798226204674115,4.87000222233333
2018-11-03 10:00:00,1.4512864790989464,0.9311516665
2018-11-04 10:00:00,2.963823919675982,4.4675055555
2018-11-05 10:00:00,0.40799757345329435,0.555546111166667
2018-11-06 10:00:00,1.8197999075787228,0.18686
2018-11-07 10:00:00,0.885313688352642,1.505927222
2018-11-08 10:00:00,0.8620028184768025,9.571826824455757e-05
2018-11-09 10:00:00,-0.31504245529229435,0.21199286616937058
2018-11-10 10:00:00,2.3365611024358417,7.8207944445
2018-11-11 10:00:00,1.1556346533243282,1.61840111116667
2018-11-12 10:00:00,1.05347799069061,0.128043333333333
2018-11-13 10:00:00,1.8244901191628027,2.748723889
2018-11-14 10:00:00,3.0049620019382153,2.26848722216667
2018-11-15 10:00:00,2.0016006773260058,0.38284102144127186
2018-11-16 10:00:00,3.4012405435513693,3.92570833333333
2018-11-17 10:00:00,2.4225994025745923,0.290317777833333
2018-11-18 10:00:00,2.675359238224253,3.24941222216667
2018-11-19 10:00:00,2.3469694277006132,5.1657244445
2018-11-20 10:00:00,0.9188777730505426,1.64357777783333
2018-11-21 10:00:00,3.310870328691412,4.31620500016667
2018-11-22 10:00:00,1.1626651023520105,1.81337499983333
2018-11-23 10:00:00,2.489968166543729,0.121775
2018-11-24 10:00:00,0.6605880102878359,1.9241751967729205e-06
2018-11-25 10:00:00,1.3827150406268562,0.139622222333333
2018-11-26 10:00:00,2.8180454916687574,4.390988442482069e-05
2018-11-27 10:00:00,1.6144942463937504,3.71877789583081e-10
2018-11-28 10:00:00,1.5933487636220534,0.5270855555
2018-11-29 10:00:00,2.3747885478816766,4.3255894445
2018-11-30 10:00:00,3.000964750314784,1.55569277783333
2018-12-01 10:00:00,2.7561160196982994,2.94086722216667
2018-12-02 10:00:00,4.501229591797765,1.1445883335
2018-12-03 10:00:00,1.5487986559579792,3.28082388883333
2018-12-04 10:00:00,6.066373079853976,10.9039383333333
2018-12-05 10:00:00,0.8313148769754743,0.899548888833333
2018-12-06 10:00:00,5.131821330977958,0.864173333333333
2018-12-07 10:00:00,1.4649922883229083,0.0346411111666666
2018-12-08 10:00:00,5.52831016340124,6.48713055566667
2018-12-09 10:00:00,0.35997503176824663,2.77681444466667
2018-12-10 10:00:00,4.555455214562928,10.8162433333333
2018-12-11 10:00:00,2.858810356449583,3.45815722216667
2018-12-12 10:00:00,2.5865410762447,0.2350494445
2018-12-13 10:00:00,3.3532869604248945,0.0267083333333333
2018-12-14 10:00:00,2.698163107243625,0.708456666666667
2018-12-15 10:00:00,1.3074342607861058,0.0031320352335971083
2018-12-16 10:00:00,2.320035062779227,4.6710644445
2018-12-17 10:00:00,0.28120377027504273,3.699766606495632e-05
2018-12-18 10:00:00,2.4304915470429114,1.549697778
2018-12-19 10:00:00,3.228178663796893,6.3341
2018-12-20 10:00:00,2.1672906910149985,2.3290505555
2018-12-21 10:00:00,4.060692586829009,2.04007888883333
2018-12-22 10:00:00,2.0159443241924837,0.0027543030947453306
2018-12-23 10:00:00,4.664692543687626,2.9589998945647946e-08
2018-12-24 10:00:00,1.8937631442582026,0.0010916666666666
2018-12-25 10:00:00,7.914525335407625,11.339320555
2018-12-26 10:00:00,2.5537677044168374,3.79312944433333
2018-12-27 10:00:00,6.360208217842392,7.94510500016667
2018-12-28 10:00:00,3.811979413854262,5.66199277783333
2018-12-29 10:00:00,5.191717896378178,5.48863722216667
2018-12-30 10:00:00,3.867859974578721,5.34957444433333
2018-12-31 10:00:00,4.725260093162932,0.104186111
2019-01-01 10:00:00,5.101141410602846,9.96469722116667
2019-01-02 10:00:00,6.587971432227006,10.614174445
