,forecast,actual
2018-12-23 13:42:00,3.438798232375044,4.726594114700721
2018-12-24 13:43:00,4.810255401669356,5.172404185734121
2018-12-25 13:43:00,5.086244794469314,10.8452333333333
2018-12-26 13:43:00,4.170971984182843,7.4829
2018-12-27 13:43:00,5.2860394067119,7.86158333333333
2018-12-28 13:43:00,4.219904067166314,5.45688333333333
2018-12-29 13:43:00,5.525121369459329,2.6451
2018-12-30 13:43:00,4.792182639845503,3.60886666666667
2018-12-31 13:43:00,4.585683736659302,0.156833333333333
2019-01-01 13:43:00,6.083376916779755,9.3886
2019-01-02 13:43:00,7.5252647513325694,10.4272166666667
2019-01-03 13:42:00,4.545145320805443,0.12865
2019-01-04 13:42:00,3.579619777639348,4.70266666666667
2019-01-05 13:41:00,3.791787726260576,3.260934848484851
2019-01-06 13:41:00,3.863049009161705,4.0999349862258985
2019-01-07 13:40:00,6.04513625361431,2.11838333333333
2019-01-08 13:40:00,5.495395863622362,6.2811
2019-01-09 13:39:00,5.222992488319675,2.66683333333333
2019-01-10 13:38:00,4.045980532345791,5.233680591034304
2019-01-11 13:37:00,3.456371227426795,6.1249
2019-01-12 13:36:00,3.825536231342818,0.243233333333333
2019-01-13 13:35:00,5.653221321853128,11.1985833333333
2019-01-14 13:34:00,5.6914854476584935,10.5000333333333
2019-01-15 13:33:00,5.635992221328202,11.07655
2019-01-16 13:32:00,4.50500450065203,4.07615
2019-01-17 13:31:00,3.1809386378252054,2.98075
2019-01-18 13:30:00,5.267142893644619,5.2728
2019-01-19 13:29:00,5.2755611323503135,2.01268333333333
2019-01-20 13:27:00,2.565595801874514,1.3576
2019-01-21 13:26:00,5.592882079159072,7.25458620689655
2019-01-22 13:24:00,3.5274169646049187,1.82805
2019-01-23 13:23:00,3.5923798064605306,1.2331
2019-01-24 13:21:00,1.3421279669321446,1.4712245036572618
2019-01-25 13:20:00,2.4510932998885475,1.4220009736867103
2019-01-26 13:18:00,2.642323792624522,0.711383333333333
2019-01-27 13:16:00,2.7301716372875893,1.6038
2019-01-28 13:15:00,2.1485991688094144,0.182266666666667
2019-01-29 13:13:00,3.835068639552655,1.7279220130918767
2019-01-30 13:11:00,3.557825317118182,2.246627847282902
2019-01-31 13:09:00,3.377093458028484,3.3185
2019-02-01 13:07:00,3.3269203103032057,5.50335
2019-02-02 13:06:00,3.8944487440795617,1.31511666666667
2019-02-03 13:04:00,4.666396416360081,3.4795
