,forecast,actual
2019-04-18 10:00:00,1.897823182144737,2.07816222233333
2019-04-19 10:00:00,1.4339901774544372,0.044993585848484854
2019-04-20 10:00:00,0.9804566315350454,0.004106614337079999
2019-04-21 10:00:00,1.2610354027363684,0.0175061111666666
2019-04-22 10:00:00,4.454068213237876,6.99942888883333
2019-04-23 10:00:00,7.365128905457512,9.844475556
2019-04-24 10:00:00,6.565946626749054,9.31353777716667
2019-04-25 10:00:00,2.9199910549832127,0.0068044443333333
2019-04-26 10:00:00,2.0539714073417645,2.53850777783333
2019-04-27 10:00:00,4.517637407567672,3.487937222
2019-04-28 10:00:00,2.4124355366442005,1.295682778
2019-04-29 10:00:00,1.5714236350847386,1.57420888883333
2019-04-30 10:00:00,4.61933722576799,0.41693958351716953
2019-05-01 10:00:00,6.206173158719168,9.27458277766667
2019-05-02 10:00:00,9.78001160323133,10.9088722216667
2019-05-03 10:00:00,9.3946133817826,11.010309445
2019-05-04 10:00:00,3.753485959966286,5.17517888883333
2019-05-05 10:00:00,6.1488611841295135,7.9565466665
2019-05-06 10:00:00,6.712954035425353,8.56402888883333
2019-05-07 10:00:00,7.723805301408886,9.18400722166667
2019-05-08 10:00:00,3.174268255577089,1.31010555566667
2019-05-09 10:00:00,2.9672629840009246,0.0439188889999999
2019-05-10 10:00:00,2.545297020812126,0.1054805555
2019-05-11 10:00:00,4.592125486773293,1.86868000016667
2019-05-12 10:00:00,7.650210540602111,5.59975222233333
2019-05-13 10:00:00,4.884627280749253,6.28515499983333
2019-05-14 10:00:00,0.6936577315838284,0.01387531219397627
2019-05-15 10:00:00,1.3583464406590655,0.492637222166667
2019-05-16 10:00:00,3.666998191415511,4.682073889
2019-05-17 10:00:00,1.3766925867153281,2.1131994445
2019-05-18 10:00:00,1.1578370561012306,0.0893088888333333
2019-05-19 10:00:00,1.008514715957076,0.110854444333333
2019-05-20 10:00:00,1.276561842405446,0.0049605556666666
2019-05-21 10:00:00,1.9926846864733814,4.83602777766667
2019-05-22 10:00:00,2.272971932466128,8.05139777783333
2019-05-23 10:00:00,2.632926394133767,0.494982777833333
2019-05-24 10:00:00,5.100942827708757,6.4061216665
2019-05-25 10:00:00,5.081108324895527,4.22697611116667
2019-05-26 10:00:00,6.737811564086469,7.81566833333333
2019-05-27 10:00:00,6.796968339558137,9.20692111116667
2019-05-28 10:00:00,5.698594369811001,4.74240722233333
2019-05-29 10:00:00,7.274216017408334,1.74198666666667
