datetime,forecast,actual,Year,Month,Day
2018-09-30 00:00:00,5.353908847254276,5.904595675,2018,9,30
2018-09-30 00:30:00,4.848199678855317,4.98890722216667,2018,9,30
2018-09-30 01:00:00,4.602756467228765,4.616953889,2018,9,30
2018-09-30 01:30:00,4.666316317791489,5.06837611116667,2018,9,30
2018-09-30 02:00:00,4.582772507374434,4.5125705555,2018,9,30
2018-09-30 02:30:00,4.951355119987487,5.4188044445,2018,9,30
2018-09-30 03:00:00,3.988842869141193,3.64882222216667,2018,9,30
2018-09-30 03:30:00,3.712948895359306,3.52662111116667,2018,9,30
2018-09-30 04:00:00,4.0733520854588905,3.26081111116667,2018,9,30
2018-09-30 04:30:00,4.616672776894572,4.7452844445,2018,9,30
2018-09-30 05:00:00,4.841468889603734,5.70717722233333,2018,9,30
2018-09-30 05:30:00,4.22131859696006,4.0142933335,2018,9,30
2018-09-30 06:00:00,4.5674755221165,4.36592499983333,2018,9,30
2018-09-30 06:30:00,5.121350778520339,5.06789611116667,2018,9,30
2018-09-30 07:00:00,4.5425907206701694,5.21790222233333,2018,9,30
2018-09-30 07:30:00,4.78878683400919,5.18584111116667,2018,9,30
2018-09-30 08:00:00,5.166807857317999,5.37878166666667,2018,9,30
2018-09-30 08:30:00,4.793512592936004,5.03435222233333,2018,9,30
2018-09-30 09:00:00,4.850103560589118,5.00611944433333,2018,9,30
2018-09-30 09:30:00,5.017197004825966,7.7064416665,2018,9,30
2018-09-30 10:00:00,4.861653170300633,5.94200111133333,2018,9,30
2018-09-30 10:30:00,5.714918493572438,8.13212111116667,2018,9,30
2018-09-30 11:00:00,4.83305232740098,6.74060833333333,2018,9,30
2018-09-30 11:30:00,4.772387363999996,6.7653083335,2018,9,30
2018-09-30 12:00:00,4.426152546452268,6.19134944433333,2018,9,30
2018-09-30 12:30:00,4.25039409600507,5.82193277783333,2018,9,30
2018-09-30 13:00:00,3.984535501965625,5.6043094445,2018,9,30
2018-09-30 13:30:00,4.3677728364953765,5.11061277783333,2018,9,30
2018-09-30 14:00:00,3.991614053315408,5.69194,2018,9,30
2018-09-30 14:30:00,3.4751485949379832,5.0868277775,2018,9,30
2018-09-30 15:00:00,2.639285238236342,1.707525,2018,9,30
2018-09-30 15:30:00,2.1452044375469743,0.991760000166666,2018,9,30
2018-09-30 16:00:00,1.1737990843558277,0.140417777833333,2018,9,30
2018-09-30 16:30:00,1.1507206862142871,0.0938666666666666,2018,9,30
2018-09-30 17:00:00,1.024789458935783,0.0296222223333333,2018,9,30
2018-09-30 17:30:00,2.6457964718348386,3.00512444433333,2018,9,30
2018-09-30 18:00:00,2.301359095452481,1.92674833333333,2018,9,30
2018-09-30 18:30:00,0.8849174736415073,0.0293138888333333,2018,9,30
2018-09-30 19:00:00,1.098428489708207,0.223035,2018,9,30
2018-09-30 19:30:00,1.4606007168486477,0.458227777833333,2018,9,30
2018-09-30 20:00:00,1.1672522147341946,0.0240394443333333,2018,9,30
2018-09-30 20:30:00,2.201007850799012,2.37823444433333,2018,9,30
2018-09-30 21:00:00,1.9116754485604817,1.58337166666667,2018,9,30
2018-09-30 21:30:00,1.2538858889910165,0.146334999833333,2018,9,30
2018-09-30 22:00:00,1.0656314505474929,0.337557222166667,2018,9,30
2018-09-30 22:30:00,0.2718572910810793,0.0388333333333333,2018,9,30
2018-09-30 23:00:00,-0.2548720297723275,0.0027694445,2018,9,30
2018-09-30 23:30:00,-1.014777198041255,0.1927497474696972,2018,9,30
2018-10-01 00:00:00,-0.3802308931755339,0.0663295729972452,2018,10,1
2018-10-01 00:30:00,0.1550216990959862,0.0590563523757826,2018,10,1
2018-10-01 01:00:00,0.5616148351215708,0.0113805556666666,2018,10,1
2018-10-01 01:30:00,-0.4980922999933322,0.0302077884553992,2018,10,1
2018-10-01 02:00:00,-0.9742489360896944,0.0327021833604355,2018,10,1
2018-10-01 02:30:00,-0.5611800782704808,0.0181524048050481,2018,10,1
2018-10-01 03:00:00,0.1965207685551727,0.0137726622421211,2018,10,1
2018-10-01 03:30:00,-0.2545842167007311,0.0096559631390609,2018,10,1
2018-10-01 04:00:00,-0.9248675824442392,0.0094991820001877,2018,10,1
2018-10-01 04:30:00,-0.8300862350368683,0.0660577935345624,2018,10,1
2018-10-01 05:00:00,0.0716801349423618,0.207765323762513,2018,10,1
2018-10-01 05:30:00,0.4500004178073534,0.4547952860919798,2018,10,1
2018-10-01 06:00:00,0.4440828455251724,0.850455827654088,2018,10,1
2018-10-01 06:30:00,0.8366275988791199,1.2523627850342425,2018,10,1
2018-10-01 07:00:00,1.480065866352517,0.642853333333333,2018,10,1
2018-10-01 07:30:00,2.391267086789194,1.52542722233333,2018,10,1
2018-10-01 08:00:00,3.4629001486703404,2.52771666666667,2018,10,1
2018-10-01 08:30:00,3.7514404302431767,3.91124333333333,2018,10,1
2018-10-01 09:00:00,3.687720789493692,3.58017666666667,2018,10,1
2018-10-01 09:30:00,3.770662775220795,2.82210333333333,2018,10,1
2018-10-01 10:00:00,4.24838608949538,5.2713144445,2018,10,1
2018-10-01 10:30:00,4.448418957601573,5.06137333316667,2018,10,1
2018-10-01 11:00:00,5.198110146606751,6.54126666683333,2018,10,1
2018-10-01 11:30:00,4.5068574679984605,3.99886666683333,2018,10,1
2018-10-01 12:00:00,5.547418405772822,6.01494333333333,2018,10,1
2018-10-01 12:30:00,6.045628400235629,6.1721294445,2018,10,1
2018-10-01 13:00:00,7.425661622481315,7.77746833316667,2018,10,1
2018-10-01 13:30:00,6.916507111746018,7.749468889,2018,10,1
